jenjang,tahun_ajaran,jumlah,persentase
 SD ,2015/2016,151365,99.95
 SMP ,2015/2016,125437,98.15
 SMA ,2015/2016,54536,97.34
 SMK ,2015/2016,69015,98.28
 SD ,2016/2017,139116,99.84
 SMP ,2016/2017,125225,99.97
 SMA ,2016/2017,48092,99.22
 SMK ,2016/2017,64325,98.78
 SD ,2017/2018,133562,99.91
 SMP ,2017/2018,120654,99.18
 SMA ,2017/2018,50385,99.64
 SMK ,2017/2018,63863,97.66
 SD ,2018/2019,135763,97.99
 SMP ,2018/2019,1221,99.37
 SMA ,2018/2019,57178,99.49
 SMK ,2018/2019,67914,98.56
